"Video asset ID","Universal video ID","Page ID","Page name",Title,"Duration (sec)","Publish time","Custom labels","Data comment",Date,Impressions,Reach,"3-second video views","1-minute video views","Seconds viewed","Average Seconds viewed","3-Second viewers","1-minute viewers","3-second video views from Boosted posts","3-second video views from Organic posts","Reactions, Comments and Shares",Reactions,Comments,Shares,"1-minute video views from Recommendations","1-minute video views from Followers","1-minute video views from Shares","1-minute video views from Boosted posts","Seconds viewed from Recommendations","Seconds viewed from Followers","Seconds viewed from Shares","Seconds viewed from Boosted posts","Average Seconds viewed from Recommendations","Average Seconds viewed from Shares","Average Seconds viewed from Followers","Average Seconds viewed from Boosted posts","Estimated earnings (USD)","Ad CPM (USD)","Ad impressions"
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/06/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/07/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/08/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/09/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/10/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/11/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/12/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/13/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/14/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/15/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/16/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/17/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/18/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/19/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/20/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/21/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/22/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/23/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/24/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/25/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/26/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/27/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/28/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/29/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/30/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,12/31/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/01/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/02/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/03/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
642456305132824,,423008958154572,"Bidhaan Health & Beauty",,72,"02/22/2025 06:05",,,01/04/2025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0
