Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
SOM,1973-01-01,1973-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1973,1973,USD,43.4866594542,E
SOM,1974-01-01,1974-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1974,1974,USD,51.0861375422,E
SOM,1975-01-01,1975-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1975,1975,USD,58.8957935453,E
SOM,1976-01-01,1976-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1976,1976,USD,69.0668486495,E
SOM,1977-01-01,1977-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1977,1977,USD,30.9705284535,E
SOM,1978-01-01,1978-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1978,1978,USD,33.1489430139,E
SOM,1979-01-01,1979-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1979,1979,USD,35.8991639980,E
SOM,1980-01-01,1980-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1980,1980,USD,39.1419630878,E
SOM,1981-01-01,1981-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1981,1981,USD,42.8456323280,E
SOM,1982-01-01,1982-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1982,1982,USD,45.4927501033,E
SOM,1983-01-01,1983-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1983,1983,USD,47.2746043158,E
SOM,1984-01-01,1984-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1984,1984,USD,48.9801327691,E
SOM,1985-01-01,1985-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1985,1985,USD,50.5291026088,E
SOM,1986-01-01,1986-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,USD,51.5467089592,E
SOM,1987-01-01,1987-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,USD,52.8213611420,E
SOM,1988-01-01,1988-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,USD,54.6845931674,E
SOM,1989-01-01,1989-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,USD,56.8284196213,E
SOM,1990-01-01,1990-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,USD,58.9556947543,E
SOM,1991-01-01,1991-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,USD,36.7794843726,E
SOM,1992-01-01,1992-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,USD,39.7052853894,E
SOM,1993-01-01,1993-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,USD,67.8331750394,E
SOM,1994-01-01,1994-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,USD,97.0549054873,E
SOM,1995-01-01,1995-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,USD,96.7047044122,E
SOM,1996-01-01,1996-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,USD,104.5187612780,E
SOM,1997-01-01,1997-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,USD,126.3262206809,E
SOM,1998-01-01,1998-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1998,1998,USD,160.1741905407,E
SOM,1999-01-01,1999-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",1999,1999,USD,153.4691946750,E
SOM,2000-01-01,2000-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2000,2000,USD,160.5483931811,E
SOM,2001-01-01,2001-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2001,2001,USD,98.9454763404,E
SOM,2002-01-01,2002-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2002,2002,USD,89.4758455960,E
SOM,2003-01-01,2003-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2003,2003,USD,107.5505053111,E
SOM,2004-01-01,2004-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2004,2004,USD,136.6172420096,E
SOM,2005-01-01,2005-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2005,2005,USD,154.7674916196,E
SOM,2006-01-01,2006-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2006,2006,USD,156.0002920491,E
SOM,2007-01-01,2007-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2007,2007,USD,157.9625680888,E
SOM,2008-01-01,2008-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2008,2008,USD,161.2164230519,E
SOM,2009-01-01,2009-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2009,2009,USD,75.3406694111,E
SOM,2010-01-01,2010-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2010,2010,USD,64.3681559260,E
SOM,2011-01-01,2011-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2011,2011,USD,65.2269663972,E
SOM,2012-01-01,2012-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2012,2012,USD,85.0265303734,E
SOM,2013-01-01,2013-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2013,2013,USD,106.3856825460,E
SOM,2014-01-01,2014-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2014,2014,USD,108.3722260770,E
SOM,2015-01-01,2015-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2015,2015,USD,100.0000000000,E
SOM,2016-01-01,2016-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2016,2016,USD,95.5862214289,E
SOM,2017-01-01,2017-12-31,201,'706,Somalia,22024,GDP Deflator,6179,"Value US$, 2015 prices",2017,2017,USD,97.4559351200,E
